identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;latlon;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;distributeur_pret_a_poster;affranchissement_libre_service;bornes_de_rechargement_moneo;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_une_bande_de_guidage_au_sol
14587A;YERVILLE;Bureau de poste;RUE JACQUES FERNY;;;76760.0;YERVILLE;FRANCE;49.669314;0.899672;49.669314, 0.899672;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14590A;YVETOT;Bureau de poste;1 RUE CARNOT;;;76190.0;YVETOT;FRANCE;49.618498;0.754854;49.618498, 0.754854;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui
14599A;NOTRE DAME DE GRAVENCHON A AP;Agence postale;AVENUE DU CHATEAU;LOTISSEMENT DU BOIS DU PARC;;76330.0;NOTRE DAME DE GRAVENCHON;FRANCE;49.472798;0.552524;49.472798, 0.552524;Géocodé au centre de la commune;235389570.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14622A;LE HAVRE BLEVILLE BP;Bureau de poste;20 RUE PIERRE GUILLAUME PETIT;;;76620.0;LE HAVRE;FRANCE;49.518194;0.098014;49.518194, 0.098014;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non
14624A;ROUEN CHATELET BP;Bureau de poste;PLACE ALFRED DE MUSSET;;;76000.0;ROUEN;FRANCE;49.461792;1.132999;49.461792, 1.132999;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non
14632A;ROUEN GRIEU BP;Bureau de poste;RUE GRIEU;;;76000.0;ROUEN;FRANCE;49.446792;1.126972;49.446792, 1.126972;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non
14639A;ROUEN GRAND MARE BP;Bureau de poste;13 RUE CESAR FRANCK;;;76000.0;ROUEN;FRANCE;49.448193;1.140428;49.448193, 1.140428;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non
14659A;BRIE COMTE ROBERT;Bureau de poste;RUE PETIT DE BEAUVERGER;;;77170.0;BRIE COMTE ROBERT;FRANCE;48.692945;2.608479;48.692945, 2.608479;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui
14662A;CESSON;Bureau de poste;55 RUE DES JONQUILLES;;;77240.0;CESSON;FRANCE;48.562194;2.60196;48.562194, 2.60196;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;Oui
14681A;CHENOISE BP;Bureau de poste;2 RUE DE LA FORET;;;77160.0;CHENOISE;FRANCE;48.616509;3.195051;48.616509, 3.195051;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14683A;CHEVRY COSSIGNY BP;Bureau de poste;36 B RUE CHARLES PATHE;;;77173.0;CHEVRY COSSIGNY;FRANCE;48.724729;2.658533;48.724729, 2.658533;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non
14687A;CLAYE SOUILLY;Bureau de poste;ALLEE ANDRE BENOIST;;;77410.0;CLAYE SOUILLY;FRANCE;48.94623;2.687798;48.94623, 2.687798;Géocodé au numéro;3631.0;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui
14694A;COURPALAY AP;Relais poste commerçant;7 RUE LAFAYETTE;AUBERGE LE GUESCLIN;;77540.0;COURPALAY;FRANCE;48.648996;2.957618;48.648996, 2.957618;Géocodé au numéro;164257822.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14695A;COURTRY BP;Bureau de poste;RUE DES ORMEAUX;;;77181.0;COURTRY;FRANCE;48.912894;2.597962;48.912894, 2.597962;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14696A;CRECY LA CHAPELLE BP;Bureau de poste;2 RUE DE BOULEURS;;;77580.0;CRECY LA CHAPELLE;FRANCE;48.858492;2.907276;48.858492, 2.907276;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Non
14699A;LA CROIX EN BRIE AP;Agence postale;31 RUE DES TEMPLIERS;;;77370.0;LA CROIX EN BRIE;FRANCE;48.592896;3.074579;48.592896, 3.074579;Géocodé au numéro;160673958.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14701A;DAMMARIE LES LYS;Bureau de poste;447 RUE DU BAS MOULIN;;;77190.0;DAMMARIE LES LYS;FRANCE;48.517296;2.63391;48.517296, 2.63391;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
14711A;ETREPILLY BP;Bureau de poste;22 RUE DU PONT VERARD;;;77139.0;ETREPILLY;FRANCE;49.036213;2.928879;49.036213, 2.928879;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14720A;FONTAINEBLEAU;Bureau de poste;PLACE NAPOLEON BONAPARTE;;;77300.0;FONTAINEBLEAU;FRANCE;48.403797;2.700196;48.403797, 2.700196;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
14729A;GRETZ ARMAINVILLIERS BP;Bureau de poste;69 RUE DE PARIS;;;77220.0;GRETZ ARMAINVILLIERS;FRANCE;48.740673;2.736108;48.740673, 2.736108;Géocodé au numéro;3631.0;Oui;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non
14730A;GREZ SUR LOING BP;Bureau de poste;47 RUE VICTOR HUGO;;;77880.0;GREZ SUR LOING;FRANCE;48.317467;2.691348;48.317467, 2.691348;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14744A;LARCHANT AP;Agence postale;RUE PASTEUR;;;77760.0;LARCHANT;FRANCE;48.284296;2.595866;48.284296, 2.595866;Géocodé au centre de la commune;164289740.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14754A;LORREZ LE BOCAGE PREAUX;Bureau de poste;2 B RUE DU 19 MARS 1962;;;77710.0;LORREZ LE BOCAGE PREAUX;FRANCE;48.239255;2.902199;48.239255, 2.902199;Géocodé au numéro;3631.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non
14755A;LUZANCY BP;Bureau de poste;2 RUE DES JARDINETS;;;77138.0;LUZANCY;FRANCE;48.972595;3.187879;48.972595, 3.187879;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14756A;MAINCY BP;Bureau de poste;9 T RUE ALFRED ET EDME SOMMIER;;;77950.0;MAINCY;FRANCE;48.548783;2.702628;48.548783, 2.702628;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14760A;MAY EN MULTIEN AP;Agence postale;9 RUE DE SOISSONS;;;77145.0;MAY EN MULTIEN;FRANCE;49.071894;3.020611;49.071894, 3.020611;Géocodé au numéro;160016604.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14763A;MELUN RP;Bureau de poste;3 PLACE SAINT JEAN;;;77000.0;MELUN;FRANCE;48.539696;2.66229;48.539696, 2.66229;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui
14765A;MESSY BP;Bureau de poste;24 RUE DE MOULIGNON;;;77410.0;MESSY;FRANCE;48.967264;2.697986;48.967264, 2.697986;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non
14772A;MONTEVRAIN BP;Bureau de poste;PLACE DE LA POSTE;;;77144.0;MONTEVRAIN;FRANCE;48.875448;2.746548;48.875448, 2.746548;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non
14777A;MORET SUR LOING;Bureau de poste;19 RUE DES GRANGES;;;77250.0;MORET SUR LOING;FRANCE;48.37364;2.816568;48.37364, 2.816568;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Oui;Non
14779A;MORTCERF BP;Bureau de poste;135 RUE DU 27 AOUT;;;77163.0;MORTCERF;FRANCE;48.786999;2.917155;48.786999, 2.917155;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14780A;MOUROUX BP;Bureau de poste;24 PLACE DE LA MAIRIE;;;77120.0;MOUROUX;FRANCE;48.821428;3.038151;48.821428, 3.038151;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14786B;RPC AINCOURT BUCAILLE AP;Relais poste commerçant;19 RUE BUCAILLE;BAR TABAC DE LA BUCAILLE;;95510.0;AINCOURT;FRANCE;49.07165;1.775587;49.07165, 1.775587;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14797A;PONTAULT COMBAULT;Bureau de poste;3 AVENUE CHARLES ROUXEL;;;77340.0;PONTAULT COMBAULT;FRANCE;48.798493;2.605277;48.798493, 2.605277;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui
14799A;PRESLES EN BRIE AP;Agence postale;RUE ABEL  LEBLANC;;;77220.0;PRESLES EN BRIE;FRANCE;48.714794;2.741899;48.714794, 2.741899;Géocodé au milieu de la rue;164250632.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14801A;QUINCY VOISINS;Bureau de poste;5 AVENUE DE LA REPUBLIQUE;;;77860.0;QUINCY VOISINS;FRANCE;48.899327;2.87332;48.899327, 2.87332;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non
14803A;LA ROCHETTE BP;Bureau de poste;65 RUE HONORE DAUMIER;;;77000.0;LA ROCHETTE;FRANCE;48.521845;2.661313;48.521845, 2.661313;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14804A;ROISSY EN BRIE;Bureau de poste;AVENUE JEAN MONNET;;;77680.0;ROISSY EN BRIE;FRANCE;48.792294;2.644886;48.792294, 2.644886;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
14807A;SAINT AUGUSTIN AP;Agence postale;RUE DE MEAUX;;;77515.0;ST AUGUSTIN;FRANCE;48.786856;3.029441;48.786856, 3.029441;Géocodé au numéro;164031500.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14815A;SAINT SIMEON AP;Relais poste commerçant;21 PLACE DE LA MAIRIE;LE PETIT BAR;;77169.0;ST SIMEON;FRANCE;48.798199;3.202328;48.798199, 3.202328;Géocodé au numéro;164044204.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14820A;SAMOREAU AP;Agence postale;24 RUE DU HAUT SAMOREAU;;;77210.0;SAMOREAU;FRANCE;48.425405;2.756243;48.425405, 2.756243;Géocodé au numéro;160965610.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14822A;SEINE PORT BP;Bureau de poste;5 RUE DE MELUN;;;77240.0;SEINE PORT;FRANCE;48.557852;2.548744;48.557852, 2.548744;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14833A;TOURNAN EN BRIE;Bureau de poste;62 RUE DE PROVINS;;;77220.0;TOURNAN EN BRIE;FRANCE;48.738592;2.768217;48.738592, 2.768217;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non
14842A;VAUX LE PENIL;Bureau de poste;PLACE DUVAUCHELLE;;;77000.0;VAUX LE PENIL;FRANCE;48.524595;2.680588;48.524595, 2.680588;Géocodé au milieu d un îlot;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Oui
14852A;VILLENEUVE SUR BELLOT BP;Bureau de poste;12 PLACE CONSTANT GALLOT;;;77510.0;VILLENEUVE SUR BELLOT;FRANCE;48.862335;3.342265;48.862335, 3.342265;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14856A;VILLIERS ST GEORGES BP;Bureau de poste;3 PLACE DE LA MAIRIE;;;77560.0;VILLIERS ST GEORGES;FRANCE;48.650032;3.407128;48.650032, 3.407128;Géocodé au numéro;3631.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non
14871A;BUSSY ST GEORGES;Bureau de poste;10 PLACE FULGENCE BIENVENUE;;;77600.0;BUSSY ST GEORGES;FRANCE;48.839296;2.709418;48.839296, 2.709418;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
14876A;COULOMMIERS TEMPLIERS BP;Bureau de poste;RUE LOUIS BRAILLE;;;77120.0;COULOMMIERS;FRANCE;48.820786;3.094371;48.820786, 3.094371;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14880A;MEAUX DUNANT BP;Bureau de poste;22 AVENUE HENRI DUNANT;;;77100.0;MEAUX;FRANCE;48.949417;2.89391;48.949417, 2.89391;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14883A;MELUN L ALMONT BP;Bureau de poste;25 RUE JEAN MOULIN;;;77000.0;MELUN;FRANCE;48.543596;2.672198;48.543596, 2.672198;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14884A;CHELLES FOCH BP;Bureau de poste;52 B AVENUE DU MARECHAL FOCH;;;77500.0;CHELLES;FRANCE;48.870699;2.576101;48.870699, 2.576101;Géocodé au numéro;3631.0;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non
14885A;SAVIGNY LE TEMPLE;Bureau de poste;43 AV LOUISE MICHEL;;;77176.0;SAVIGNY LE TEMPLE;FRANCE;48.596199;2.582293;48.596199, 2.582293;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui
14886A;MEAUX BEAUVAL;Bureau de poste;CENTRE COMMERCIAL LA VERRIERE;;;77100.0;MEAUX;FRANCE;48.9529;2.913748;48.9529, 2.913748;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui
14888A;NOISIEL LE LUZARD;Bureau de poste;15 B COURS DES ROCHES;;;77186.0;NOISIEL;FRANCE;48.845695;2.61406;48.845695, 2.61406;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Oui
14893A;MANTES LA JOLIE GASSICOURT BP;Bureau de poste;RUE PAUL BERT;;;78200.0;MANTES LA JOLIE;FRANCE;48.997494;1.701848;48.997494, 1.701848;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non
14907A;LA BOISSIERE ECOLE AP;Relais poste commerçant;;;;78125.0;LA BOISSIERE ECOLE;FRANCE;48.680794;1.651119;48.680794, 1.651119;Géocodé au numéro;134943690.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14910A;BOUAFLE BP;Bureau de poste;7 RUE MAURICE BERTEAUX;;;78410.0;BOUAFLE;FRANCE;48.96535;1.897875;48.96535, 1.897875;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
14919A;BUC BP;Bureau de poste;127 RUE DES SOURCES;RESIDENCE DU VILLAGE;;78530.0;BUC;FRANCE;48.775697;2.129997;48.775697, 2.129997;Géocodé au numéro;3631.0;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14925A;CHAMBOURCY BP;Bureau de poste;8 RUE CHAUDE;;;78240.0;CHAMBOURCY;FRANCE;48.9064;2.039031;48.9064, 2.039031;Géocodé au numéro;3631.0;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14933A;COIGNIERES BP;Bureau de poste;CENTRE COMMERCIAL LE VILLAGE C;;;78310.0;COIGNIERES;FRANCE;48.750299;1.919157;48.750299, 1.919157;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14934A;CONDE SUR VESGRE AP;Agence postale;14 RUE DE LA VESGRE;;;78113.0;CONDE SUR VESGRE;FRANCE;48.742059;1.661495;48.742059, 1.661495;Géocodé au numéro;134871846.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14939A;DAMPIERRE EN YVELINES AP;Relais poste commerçant;12 GRAND RUE;;;78720.0;DAMPIERRE EN YVELINES;FRANCE;48.706695;1.98831;48.706695, 1.98831;Géocodé au numéro;130525387.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14942A;ELANCOURT 7 MARES;Bureau de poste;1 RUE DU CHEMIN AUX BOEUFS;CENTRE ADMINISTRATIF DES 7 MARES;;78990.0;ELANCOURT;FRANCE;48.767461;1.949286;48.767461, 1.949286;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui
14943A;EPONE BP;Bureau de poste;77 AV DU PROFESSEUR EMILE SERGENT;;;78680.0;EPONE;FRANCE;48.957037;1.813322;48.957037, 1.813322;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00557A;VIEURE AP;Agence postale;VIEURE;;;3430.0;VIEURE;FRANCE;46.5001;2.874871;46.5001, 2.874871;Géocodé au numéro;470075373.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00562A;VOUSSAC AP;Agence postale;LE BOURG;;;3140.0;VOUSSAC;FRANCE;46.328993;3.06108;46.328993, 3.06108;Géocodé au milieu de la rue;470423430.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00571A;VICHY PONT D EUROPE BP;Bureau de poste;37 ALLEE DES AILES;CENTRE COMMERCIAL CORA;;3200.0;VICHY;FRANCE;46.144297;3.413447;46.144297, 3.413447;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
00577A;VICHY JEANNE D ARC BP;Bureau de poste;144 RUE JEAN JAURES;;;3200.0;VICHY;FRANCE;46.13438;3.422958;46.13438, 3.422958;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00581A;ALLEMAGNE EN PROVENCE AP;Agence postale;;;LE VILLAGE;4500.0;ALLEMAGNE EN PROVENCE;FRANCE;43.781897;6.007679;43.781897, 6.007679;Géocodé au centre de la commune;492750261.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00584A;SIGONCE AP;Agence postale;MAIRIE;;;4300.0;SIGONCE;FRANCE;43.997395;5.840756;43.997395, 5.840756;Géocodé au centre de la commune;492744305.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00585A;BANON;Bureau de poste;PLACE DE LA REPUBLIQUE;;;4150.0;BANON;FRANCE;44.038086;5.628632;44.038086, 5.628632;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
00595A;CASTELLANE BP;Bureau de poste;PLACE MARCEL SAUVAIRE;;;4120.0;CASTELLANE;FRANCE;43.846395;6.513721;43.846395, 6.513721;Géocodé au milieu de la rue;3631.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non
00603A;CORBIERES AP;Agence postale;2 PLACE DE L EGLISE;;;4220.0;CORBIERES;FRANCE;43.761023;5.750435;43.761023, 5.750435;Géocodé au numéro;492782008.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00606A;DIGNE R P;Bureau de poste;4 RUE ANDRE HONNORAT;;;4000.0;DIGNE LES BAINS;FRANCE;44.091294;6.232989;44.091294, 6.232989;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
00614A;JAUSIERS BP;Bureau de poste;PLACE DE L EGLISE;;;4850.0;JAUSIERS;FRANCE;44.4192;6.733783;44.4192, 6.733783;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00619A;MALIJAI BP;Bureau de poste;13 PLACE DE LA REPUBLIQUE;;;4350.0;MALIJAI;FRANCE;44.044733;6.030573;44.044733, 6.030573;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui
00624A;MEZEL BP;Bureau de poste;LE CLANS;;;4270.0;MEZEL;FRANCE;43.996594;6.196158;43.996594, 6.196158;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00626A;MONTAGNAC MONTPEZAT AP;Agence postale;PLACE DE L HORLOGE;;;4500.0;MONTAGNAC MONTPEZAT;FRANCE;43.779795;6.095032;43.779795, 6.095032;Géocodé au milieu de la rue;492725198.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00634A;LA PALUD SUR VERDON BP;Bureau de poste;LA PLACETTE;;;4120.0;LA PALUD SUR VERDON;FRANCE;43.779799;6.34128;43.779799, 6.34128;Géocodé au centre de la commune;3631.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00635A;PEIPIN BP;Bureau de poste;PLACE DE LA MAIRIE;;;4200.0;PEIPIN;FRANCE;44.135511;5.956063;44.135511, 5.956063;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00639A;PUIMOISSON BP;Bureau de poste;ROUTE DE DIGNE;;;4410.0;PUIMOISSON;FRANCE;43.863307;6.127;43.863307, 6.127;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
