identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;latlon;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;distributeur_pret_a_poster;affranchissement_libre_service;bornes_de_rechargement_moneo;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_une_bande_de_guidage_au_sol
05127A;SCAER BP;Bureau de poste;RUE EMILE ZOLA;;;29390.0;SCAER;FRANCE;48.026583;-3.702759;48.026583, -3.702759;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non
05137A;TREGUNC BP;Bureau de poste;PLACE DE LA MAIRIE;;;29910.0;TREGUNC;FRANCE;47.854718;-3.852504;47.854718, -3.852504;Géocodé au numéro;3631.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05138A;LE TREVOUX BP;Bureau de poste;3 RUE DE BANNALEC;;;29380.0;LE TREVOUX;FRANCE;47.894618;-3.641008;47.894618, -3.641008;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05139A;PONT DE BUIS BP;Bureau de poste;43 B GRAND RUE;;;29590.0;PONT DE BUIS LES QUIMERCH;FRANCE;48.254372;-4.090557;48.254372, -4.090557;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non
05151A;BREST KERINOU BP;Bureau de poste;49 RUE AUGUSTE KERVERN;;;29200.0;BREST;FRANCE;48.402297;-4.48852;48.402297, -4.48852;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non
05153A;BREST RECOUVRANCE;Bureau de poste;53 RUE ARMORIQUE;;;29200.0;BREST;FRANCE;48.384598;-4.504253;48.384598, -4.504253;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non
05154A;BREST SAINT MARC BP;Bureau de poste;126 RUE DE VERDUN;;;29200.0;BREST;FRANCE;48.398498;-4.453873;48.398498, -4.453873;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non
05160A;BREST ST MARTIN BP;Bureau de poste;89 RUE JEAN JAURES;;;29200.0;BREST;FRANCE;48.394292;-4.479641;48.394292, -4.479641;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
05161A;BREST QUATRE MOULINS BP;Bureau de poste;198 RUE ANATOLE FRANCE;;;29200.0;BREST;FRANCE;48.382898;-4.516251;48.382898, -4.516251;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non
05173A;CONCARNEAU LE ROUZ BP;Bureau de poste;9 RUE DU ROUZ;;;29900.0;CONCARNEAU;FRANCE;47.869197;-3.907309;47.869197, -3.907309;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
